MTL	Mullen Group Ltd.	$16.83	$20.32	$13.28	103,654,316	$1,744,502,138
SES	Secure Energy Services Inc.	$10.67	$12.04	$7.61	162,104,088	$1,729,650,618
HCG	Home Capital Group Inc.	$26.16	$39.84	$23.41	64,273,519	$1,681,395,257
SSO	Silver Standard Resources Inc.	$14.05	$20.48	$6.92	119,412,787	$1,677,749,657
FRU	Freehold Royalties Ltd.	$14.19	$15.16	$9.66	117,918,274	$1,673,260,308
RUS	Russel Metals Inc.	$27.02	$29.78	$18.30	61,735,485	$1,668,092,804
FN	First National Financial Corporation	$27.04	$32.23	$22.43	59,967,429	$1,621,519,280
CNU	CNOOC Limited american depositary rece...	$161.00	$183.15	$150.00	10,063,022	$1,620,146,542
EFX	Enerflex Ltd.	$18.29	$19.17	$8.59	88,296,818	$1,614,948,801
BYD.UN	Boyd Group Income Fund	$88.45	$91.31	$62.33	18,065,060	$1,597,854,557
PJC.A	Jean Coutu Group (PJC) Inc. (The) Clas...	$19.90	$22.41	$18.56	80,183,204	$1,595,645,759
RCH	Richelieu Hardware Ltd.	$27.10	$28.88	$21.07	57,942,766	$1,570,248,958
BLX	Boralex Inc. Class A Shares	$20.70	$21.17	$15.60	75,727,411	$1,567,557,407
POW.PR.E	Power Corporation of Canada Participat...	$32.00	$32.00	$28.50	48,854,772	$1,563,352,704
INE	Innergex Renewable Energy Inc.	$14.42	$15.80	$12.43	108,375,159	$1,562,769,792
OR	Osisko Gold Royalties Ltd	$14.65	$18.64	$11.90	106,530,788	$1,560,676,044
GUD	Knight Therapeutics Inc.	$10.80	$11.03	$7.20	142,713,489	$1,541,305,681
PSI	Pason Systems Inc.	$18.19	$20.46	$14.79	84,649,086	$1,539,766,874
MAG	MAG Silver Corp.	$18.96	$23.32	$10.39	80,710,204	$1,530,265,467
PLI	ProMetic Life Sciences Inc.	$2.43	$3.49	$1.47	623,549,331	$1,515,224,874
FIH.U	Fairfax India Holdings Corporation Sub...	$12.51	$12.99	$9.30	117,434,531	$1,469,105,982
ENGH	Enghouse Systems Limited	$54.29	$61.99	$48.40	26,936,462	$1,462,380,521
QBR.A	Quebecor Inc. Class A Multiple Voting ...	$37.62	$41.88	$31.74	38,788,072	$1,459,207,268
UNS	Uni-Select Inc.	$34.36	$35.47	$26.59	42,248,628	$1,451,662,858
GC	Great Canadian Gaming Corporation	$23.58	$26.20	$16.55	61,466,930	$1,449,390,209
AAR.UN	Pure Industrial Real Estate Trust	$5.87	$6.08	$4.57	245,682,372	$1,442,155,523
NWC	The North West Company Inc.	$29.60	$32.50	$24.08	48,681,835	$1,440,982,316
AAV	Advantage Oil & Gas Ltd.	$7.68	$10.33	$6.41	184,828,085	$1,419,479,692
